nct_id,official_title,eligibility_criteria,inclusion_criteria,exclusion_criteria
NCT04623788,"Manganese-Enhanced Magnetic Resonance Imaging (MEMRI) in Ischaemic, Inflammatory and Takotsubo Cardiomyopathy (MEMORY)","Inclusion Criteria:

All subjects to be entered must:

* ≥ 18 years of age
* if female, be non-pregnant as evidenced by a urine pregnancy test or post-menopausal or surgically sterile
* provide written informed consent after having received oral and written information about the study

Additionally, cohort-specific inclusion criteria as follows:

Cohort 1

• Healthy adult with no known pre-existing medical conditions

Cohort 2

* Positive stress- akinesia/hypokinesis on pharmacological stress
* Negative stress- no inducible regional wall motion abnormalities on pharmacological stress

Cohort 3

* New left/right ventricular dysfunction; including regional wall motion abnormalities (RWMA's)
* New abnormal ECG findings (conduction, atrio-ventricular block, ST/T wave changes)
* Raised biomarkers (troponin, TnI)
* Tissue characteristics on MRI (myocardial oedema and typical late gadolinium enhancement pattern)

Cohort 4

* Normal/ Non-obstructive coronaries on angiography
* Typical RWMA's based on echocardiography, MRI or left ventriculography

Exclusion Criteria:

* The following apply to all participants:

  * have a positive pregnancy test
  * women who are breast feeding
  * received an investigational drug or device within 30 days prior to administration of Mangafodipir
  * have a history of ongoing drug abuse or alcoholism
  * have a history of torsades or prolonged QT/QT corrected interval
  * high degree atrioventricular block (second or third degree)
  * atrial fibrillation or flutter
  * have New York Heart Failure Association (NYHA) Grade IV heart failure
  * have abnormal liver function tests (\> x3 ULN) or a history of liver disease
  * have a baseline estimated glomerular filtration rate (eGFR) of \<30 mL/min/1.73m2)
  * have uncontrolled hypertension (systolic blood pressure \>200 mmHg)
  * have any contraindications to MRI, including implanted devices/pacemakers
  * be maintained on either a calcium channel blocker or digoxin
  * known diagnosis of pheochromocytoma

Additionally, cohort-specific exclusion criteria as follows:

Cohort 2

* Severe aortic stenosis (mean gradient \>40 mmHg, mean aortic valve area ≤1 cm2 or peak velocity ≥4 m/sec)
* Severe asthma/ chronic obstructive airways disease

Cohort 3

* Presence of coronary artery disease
* Diagnosis of other cardiomyopathies (takotsubo, infiltrative, hypertrophic cardiomyopathy, dilated cardiomyopathy)

Cohort 4

* Myocardial fibrosis on magnetic resonance imaging
* Evidence of myocarditis, hypertrophic cardiomyopathy, head trauma, and intra-cranial haemorrhage.","[""\u2265 18 years of age"", ""if female, be non-pregnant as evidenced by a urine pregnancy test or post-menopausal or surgically sterile"", ""provide written informed consent after having received oral and written information about the study"", ""Healthy adult with no known pre-existing medical conditions (Cohort 1)"", ""Positive stress- akinesia/hypokinesis on pharmacological stress (Cohort 2)"", ""Negative stress- no inducible regional wall motion abnormalities on pharmacological stress (Cohort 2)"", ""New left/right ventricular dysfunction; including regional wall motion abnormalities (RWMA's) (Cohort 3)"", ""New abnormal ECG findings (conduction, atrio-ventricular block, ST/T wave changes) (Cohort 3)"", ""Raised biomarkers (troponin, TnI) (Cohort 3)"", ""Tissue characteristics on MRI (myocardial oedema and typical late gadolinium enhancement pattern) (Cohort 3)"", ""Normal/ Non-obstructive coronaries on angiography (Cohort 4)"", ""Typical RWMA's based on echocardiography, MRI or left ventriculography (Cohort 4)""]","[""have a positive pregnancy test"", ""women who are breast feeding"", ""received an investigational drug or device within 30 days prior to administration of Mangafodipir"", ""have a history of ongoing drug abuse or alcoholism"", ""have a history of torsades or prolonged QT/QT corrected interval"", ""high degree atrioventricular block (second or third degree)"", ""atrial fibrillation or flutter"", ""have New York Heart Failure Association (NYHA) Grade IV heart failure"", ""have abnormal liver function tests (> x3 ULN) or a history of liver disease"", ""have a baseline estimated glomerular filtration rate (eGFR) of <30 mL/min/1.73m2)"", ""have uncontrolled hypertension (systolic blood pressure >200 mmHg)"", ""have any contraindications to MRI, including implanted devices/pacemakers"", ""be maintained on either a calcium channel blocker or digoxin"", ""known diagnosis of pheochromocytoma"", ""Severe aortic stenosis (mean gradient >40 mmHg, mean aortic valve area \b\r\b\r\u22641 cm2 or peak velocity \b\r\b\r\u22654 m/sec) (Cohort 2)"", ""Severe asthma/ chronic obstructive airways disease (Cohort 2)"", ""Presence of coronary artery disease (Cohort 3)"", ""Diagnosis of other cardiomyopathies (takotsubo, infiltrative, hypertrophic cardiomyopathy, dilated cardiomyopathy) (Cohort 3)"", ""Myocardial fibrosis on magnetic resonance imaging (Cohort 4)"", ""Evidence of myocarditis, hypertrophic cardiomyopathy, head trauma, and intra-cranial haemorrhage. (Cohort 4)""]"
NCT02412488,Reveal LINQ™ In-Office 2 (RIO2) International Study,"Inclusion Criteria:

* Patient is indicated for continuous arrhythmia monitoring with a Reveal LINQ™ Insertable Cardiac Monitor (ICM)
* Patient is at least 18 years of age or older if required by local regulations
* Patient is willing to undergo ICM insertion procedure outside of the cathlab, operating room, or EP lab setting with only local anesthetic
* Patient is willing and able to provide consent and authorize the use and disclosure of health information
* Patient is willing and able to comply with the elements of the clinical investigation plan including the required follow-up

Exclusion Criteria:

* Patient has unusual thoracic anatomy or scarring at the insertion site which may adversely affect the success of the insertion procedure
* Patient has reduced immune function or is otherwise at high risk for infection per physician discretion
* Current therapy with immunosuppressive agents or chronic steroid use e.g. Prednisone greater than 20mg per day
* Patient requires hemodialysis
* Patient with active malignancy or history of chemotherapy or radiation treatment
* Patient has had a recent (within 30 days) or an active infection including but not limited to pneumonia, urinary tract, cellulitis, or bacteremia
* Patient has had major surgery (in the past 6 months) Patient has undergone a procedure which required central venous or intra-arterial access (e.g. AF/VT ablation, EP study, coronary angiography) within the last 3 months or is scheduled for such a procedure while enrolled in the study
* Prior history of surgical infection, prosthetic device infection, or endovascular infection, including endocarditis, in the past 12 months
* Patient has a central venous port, an atrio-venous fistula, or a prosthetic valve
* Patient requires conscious or moderate sedation to receive LINQ™
* Patient already has an inserted or implanted loop recorder
* Patient is implanted or indicated for implant with a pacemaker, ICD, CRT device
* Patient is enrolled in another study that could confound the results of this study, without documented pre-approval from a Medtronic study manager
* Patient's life expectancy is less than 6 months
* Patient is legally incapable of giving consent
* Patient is pregnant\* \*Note: Possible pregnancy will be assessed by the physician asking the patient; a pregnancy test is not required","[""Patient is indicated for continuous arrhythmia monitoring with a Reveal LINQ\u2122 Insertable Cardiac Monitor (ICM)"", ""Patient is at least 18 years of age or older if required by local regulations"", ""Patient is willing to undergo ICM insertion procedure outside of the cathlab, operating room, or EP lab setting with only local anesthetic"", ""Patient is willing and able to provide consent and authorize the use and disclosure of health information"", ""Patient is willing and able to comply with the elements of the clinical investigation plan including the required follow-up""]","[""Patient has unusual thoracic anatomy or scarring at the insertion site which may adversely affect the success of the insertion procedure"", ""Patient has reduced immune function or is otherwise at high risk for infection per physician discretion"", ""Current therapy with immunosuppressive agents or chronic steroid use e.g. Prednisone greater than 20mg per day"", ""Patient requires hemodialysis"", ""Patient with active malignancy or history of chemotherapy or radiation treatment"", ""Patient has had a recent (within 30 days) or an active infection including but not limited to pneumonia, urinary tract, cellulitis, or bacteremia"", ""Patient has had major surgery (in the past 6 months) Patient has undergone a procedure which required central venous or intra-arterial access (e.g. AF/VT ablation, EP study, coronary angiography) within the last 3 months or is scheduled for such a procedure while enrolled in the study"", ""Prior history of surgical infection, prosthetic device infection, or endovascular infection, including endocarditis, in the past 12 months"", ""Patient has a central venous port, an atrio-venous fistula, or a prosthetic valve"", ""Patient requires conscious or moderate sedation to receive LINQ\u2122"", ""Patient already has an inserted or implanted loop recorder"", ""Patient is implanted or indicated for implant with a pacemaker, ICD, CRT device"", ""Patient is enrolled in another study that could confound the results of this study, without documented pre-approval from a Medtronic study manager"", ""Patient's life expectancy is less than 6 months"", ""Patient is legally incapable of giving consent"", ""Patient is pregnant*""]"
NCT03541603,"A Double-Blind, Randomized, Placebo-Controlled Study of Levosimendan in Pulmonary Hypertension Patients With Heart Failure With Preserved Left Ventricular Ejection Fraction (PH-HFpEF)","Inclusion Criteria:

Criteria to enter Open-label, Lead-in Dose Phase:

* Diagnosis of World Health Organization (WHO) Group 2 Pulmonary Hypertension (PH) with Heart Failure with Preserved Ejection Fraction (HFpEF) confirmed at the time of the diagnosis of pulmonary hypertension.
* Baseline Pulmonary Arterial Pressure (PAP) ≥35, Pulmonary Capillary Wedge Pressure (PCWP) ≥20, New York Heart Association (NYHA) Class IIb/III, Left Ventricular Ejection Fraction (LVEF) ≥40%
* Ability to walk at least 50 meters, but not more than 550 meters in a six-minute walk test.
* Stable oxygen treatment (if applicable), and medications for heart failure, hypertension, and respiratory condition

Criterion for Randomization to Double-blind Phase:

* Response to Open-label, Lead-in Levosimendan: Patients who demonstrate a ≥4mmHg reduction in PCWP from baseline measured at bicycle exercise (25 watts) with no more than a 10% decrease from baseline in cardiac index

Exclusion Criteria:

* Subject has a primary diagnosis of PH other than Group 2 PH-HFpEF
* Previous Percutaneous Coronary Intervention (PCI) or cardiac surgery (CABG), unless they have a negative stress test in the last 12 months)
* Congenital heart disease
* Clinically significant lung disease
* Planned heart or lung surgery
* Cardiac Index \>4.0 L/min/m2
* Concomitant administration of pulmonary vasodilator therapy or taken within 14 days
* Dialysis or Glomerular Filtration Rate (GFR) \<30 mL/min/1.73 m2
* Liver dysfunction with Child-Pugh Class B or C
* Evidence of systemic infection
* Weight \> 150kg
* Symptomatic systolic blood pressure (SBP) cannot be managed to ensure SBP \>100 mmHg
* Heart rate \>= 100 bpm with the study drug, symptomatic and persistent for at least 10 minutes
* Hemoglobin \< 80 g/L
* Serum potassium \< 3.0 mmol/L or \> 5.5 mmol/L at baseline
* Patients having severely compromised immune function
* Pregnant, suspected to be pregnant, or breast-feeding","[""Diagnosis of World Health Organization (WHO) Group 2 Pulmonary Hypertension (PH) with Heart Failure with Preserved Ejection Fraction (HFpEF) confirmed at the time of the diagnosis of pulmonary hypertension."", ""Baseline Pulmonary Arterial Pressure (PAP) \u226535, Pulmonary Capillary Wedge Pressure (PCWP) \u226520, New York Heart Association (NYHA) Class IIb/III, Left Ventricular Ejection Fraction (LVEF) \u226540%"", ""Ability to walk at least 50 meters, but not more than 550 meters in a six-minute walk test."", ""Stable oxygen treatment (if applicable), and medications for heart failure, hypertension, and respiratory condition"", ""Response to Open-label, Lead-in Levosimendan: Patients who demonstrate a \u22654mmHg reduction in PCWP from baseline measured at bicycle exercise (25 watts) with no more than a 10% decrease from baseline in cardiac index""]","[""Subject has a primary diagnosis of PH other than Group 2 PH-HFpEF"", ""Previous Percutaneous Coronary Intervention (PCI) or cardiac surgery (CABG), unless they have a negative stress test in the last 12 months)"", ""Congenital heart disease"", ""Clinically significant lung disease"", ""Planned heart or lung surgery"", ""Cardiac Index >4.0 L/min/m2"", ""Concomitant administration of pulmonary vasodilator therapy or taken within 14 days"", ""Dialysis or Glomerular Filtration Rate (GFR) <30 mL/min/1.73 m2"", ""Liver dysfunction with Child-Pugh Class B or C"", ""Evidence of systemic infection"", ""Weight > 150kg"", ""Symptomatic systolic blood pressure (SBP) cannot be managed to ensure SBP >100 mmHg"", ""Heart rate >= 100 bpm with the study drug, symptomatic and persistent for at least 10 minutes"", ""Hemoglobin < 80 g/L"", ""Serum potassium < 3.0 mmol/L or > 5.5 mmol/L at baseline"", ""Patients having severely compromised immune function"", ""Pregnant, suspected to be pregnant, or breast-feeding""]"
NCT02500342,Effect of Thyroid Hormone Replacement on Fatigability in Untreated Older Adults With Subclinical Hypothyroidism,"Inclusion Criteria:

* Community-dwelling patients aged \>= 65 years with subclinical hypothyroidism
* Written informed consent

Exclusion Criteria

* Subjects currently under Levothyroxine or antithyroid drugs (amiodarone, lithium)
* Recent thyroid surgery or radio-iodine (within 12 months)
* Grade IV NYHA heart failure
* Prior clinical diagnosis of dementia
* Recent hospitalization for major illness or elective surgery (within 4 weeks)
* Terminal illness
* Patients with rare hereditary problems of galactose intolerance, the Lapp lactase deficiency or glucose-galactose malabsorption
* Subjects who are participating in ongoing RCTs of therapeutic interventions (including CTIMPs)
* Plan to move out of the region in which the trial is being conducted within the next 2 years (proposed minimum follow-up period)","[""Community-dwelling patients aged >= 65 years with subclinical hypothyroidism"", ""Written informed consent""]","[""Subjects currently under Levothyroxine or antithyroid drugs (amiodarone, lithium)"", ""Recent thyroid surgery or radio-iodine (within 12 months)"", ""Grade IV NYHA heart failure"", ""Prior clinical diagnosis of dementia"", ""Recent hospitalization for major illness or elective surgery (within 4 weeks)"", ""Terminal illness"", ""Patients with rare hereditary problems of galactose intolerance, the Lapp lactase deficiency or glucose-galactose malabsorption"", ""Subjects who are participating in ongoing RCTs of therapeutic interventions (including CTIMPs)"", ""Plan to move out of the region in which the trial is being conducted within the next 2 years (proposed minimum follow-up period)""]"
NCT00321269,Depression and CHF in Outpatients,"Inclusion Criteria:

* Receiving treatment for NYHA Class 2-4 heart failure.
* Patients of the Iowa City, IA or Columbia, MO Veterans Affairs Medical Center Primary Care or Cardiac Care Clinics.
* Life expectancy greater than 6 months.
* Must speak English.
* Must possess a working telephone.

Exclusion Criteria:

* Presence of major psychiatric illness such as schizophrenia, bipolar disorder and substance abuse (PTSD patients are eligible).
* Life expectancy less than 3 months.
* Planned relocation to a nursing home.
* Marked visual or hearing impairment.","[""Receiving treatment for NYHA Class 2-4 heart failure."", ""Patients of the Iowa City, IA or Columbia, MO Veterans Affairs Medical Center Primary Care or Cardiac Care Clinics."", ""Life expectancy greater than 6 months."", ""Must speak English."", ""Must possess a working telephone.""]","[""Presence of major psychiatric illness such as schizophrenia, bipolar disorder and substance abuse (PTSD patients are eligible)."", ""Life expectancy less than 3 months."", ""Planned relocation to a nursing home."", ""Marked visual or hearing impairment.""]"
NCT03549169,Decision Making for the Management for the Symptoms in Adults of Heart Failure: Randomized Clinical Trial,"Inclusion criteria

* Adults (over 18 years of age).
* More than two months of having been diagnosed.
* Conserves cognitive state.
* Absence or low co-morbidity.

Exclusion criteria

* Confirmed diagnose of acute HF.
* Confirmed diagnose of advanced HF.","[""Adults (over 18 years of age)."", ""More than two months of having been diagnosed."", ""Conserves cognitive state."", ""Absence or low co-morbidity.""]","[""Confirmed diagnose of acute HF."", ""Confirmed diagnose of advanced HF.""]"
NCT04515290,A Phase IIa Clinical Trial on TSG-01 in the Treatment of Chronic Heart Failure in Patients With Coronary Heart Disease.,"Inclusion Criteria:

* Age: 40 to 75 years.
* Have chronic heart failure(CHF) due to ischemic causes and defined as NYHA classification of III.
* Left ventricular ejection fraction (LVEF) of ≤45% and ≥25% as determined by improved biplane Simpson method
* NT-proBNP≥450pg/ml
* Be on a stable regime of standardized therapy for CHF at least 2 weeks prior to receiving study medication and are respected to remain on a stable regime throughout the duration of the trial without the need to receive intravenously vasoactive agents or/and diuretics. Standardized therapy includes ACEI/ARB, beta-blocker, aldosterone receptor antagonist, diuretic, digitalis.
* Is able to understand the trial and provide informed consent.

Exclusion Criteria:

* Has hypertensive cardiopathy, pulmonary heart disease, congenital heart disease, moderate to severe pulmonary hypertension (pulmonary artery pressure ≥ 40mmHg), moderate to severe cardiac valve stenosis or insufficiency, any type of cardiomyopathy(hypertrophic, restrictive or dilated cardiomyopathy); moderate to severe pericardial effusion, constrictive pericarditis, and heart failure caused by arrhythmia.
* Has noncardiogenic heart failure caused by diseases in kidney, lung, liver, or by rheumatic immune disorders, severe infection and chemical factors (chemotherapy, alcohol, etc.).
* Has active tuberculosis or systemic lupus erythematosus (SLE)
* Had acute myocardial infarction, biventricular pacemaker implantation for cardiac resynchronization, cardiothoracic surgery or was complicated with acute coronary syndrome, pulmonary embolism and acute cerebrovascular disease within 3 months prior to receiving study medication.
* Had symptomatic ventricular tachycardia or pleomorphic ventricular tachycardia, cardiogenic shock (CGS), a progressive exacerbation of unstable angina, uncontrolled malignant arrhythmia, second degree sinoatrial or AV block Mobitz Type II or above without pacemaker implantation, QTc\>550 ms and heart rate \<50 bmp. Had uncontrolled hypertension, systolic blood pressure≥180/mmHg and/or diastolic blood pressure≥110mmHg, or hypotension with systolic blood pressure\<90mmHg and/or diastolic blood pressure\<60mmHg.
* Had coronary revascularization procedure (percutaneous or surgical) within 12 weeks prior to receiving study medication or be expected to have coronary revascularization or left ventricular remodeling operation in next 12 weeks.
* Has hepatic abnormality defined as ALT≥1.5 times the upper limit of normal, or has impaired renal function with Cr≥1.5 times the upper limit of normal. Has severe anemia (Hb\<70g/L), pheochromocytoma, hematopathy, gastrointestinal bleeding (consecutive fecal occult blood tests positive, except bleeding caused by hemorrhoids or other anal diseases).
* Has a body weight\>200kg.
* The subject has the need for mechanical ventilation, or has a history of a stroke or any malignancy within 4 weeks prior to receiving study medication.
* Has psychosis with poor control, or is a drug addict who has not been detoxified.
* Allergic to the study drug.
* Has participated in any clinical trial involving experimental therapy 3 months prior to screening.
* If female, being pregnant or lactating, or plan to get pregnant in next 3 months.
* Has a survival time less than 3 months according to the investigator's judgement.
* Subject who are taking Entresto (Sacubitril Valsartan Sodium Tablets) medication.
* Unable to complete the study or comply with the requirements of the study (for management or other reasons) according to the investigator's judgement.","[""Age: 40 to 75 years."", ""Have chronic heart failure(CHF) due to ischemic causes and defined as NYHA classification of III."", ""Left ventricular ejection fraction (LVEF) of \""<=\""45% and \"">=\""25% as determined by improved biplane Simpson method"", ""NT-proBNP\"">=\""450pg/ml"", ""Be on a stable regime of standardized therapy for CHF at least 2 weeks prior to receiving study medication and are respected to remain on a stable regime throughout the duration of the trial without the need to receive intravenously vasoactive agents or/and diuretics. Standardized therapy includes ACEI/ARB, beta-blocker, aldosterone receptor antagonist, diuretic, digitalis."", ""Is able to understand the trial and provide informed consent.""]","[""Has hypertensive cardiopathy, pulmonary heart disease, congenital heart disease, moderate to severe pulmonary hypertension (pulmonary artery pressure \"">\"" 40mmHg), moderate to severe cardiac valve stenosis or insufficiency, any type of cardiomyopathy(hypertrophic, restrictive or dilated cardiomyopathy); moderate to severe pericardial effusion, constrictive pericarditis, and heart failure caused by arrhythmia."", ""Has noncardiogenic heart failure caused by diseases in kidney, lung, liver, or by rheumatic immune disorders, severe infection and chemical factors (chemotherapy, alcohol, etc.)."", ""Has active tuberculosis or systemic lupus erythematosus (SLE)"", ""Had acute myocardial infarction, biventricular pacemaker implantation for cardiac resynchronization, cardiothoracic surgery or was complicated with acute coronary syndrome, pulmonary embolism and acute cerebrovascular disease within 3 months prior to receiving study medication."", ""Had symptomatic ventricular tachycardia or pleomorphic ventricular tachycardia, cardiogenic shock (CGS), a progressive exacerbation of unstable angina, uncontrolled malignant arrhythmia, second degree sinoatrial or AV block Mobitz Type II or above without pacemaker implantation, QTc\"">\""550 ms and heart rate \""<\""50 bmp. Had uncontrolled hypertension, systolic blood pressure\"">\""180/mmHg and/or diastolic blood pressure\"">\""110mmHg, or hypotension with systolic blood pressure\""<\""90mmHg and/or diastolic blood pressure\""<\""60mmHg."", ""Had coronary revascularization procedure (percutaneous or surgical) within 12 weeks prior to receiving study medication or be expected to have coronary revascularization or left ventricular remodeling operation in next 12 weeks."", ""Has hepatic abnormality defined as ALT\"">\""1.5 times the upper limit of normal, or has impaired renal function with Cr\"">\""1.5 times the upper limit of normal. Has severe anemia (Hb\""<\""70g/L), pheochromocytoma, hematopathy, gastrointestinal bleeding (consecutive fecal occult blood tests positive, except bleeding caused by hemorrhoids or other anal diseases)."", ""Has a body weight\"">\""200kg."", ""The subject has the need for mechanical ventilation, or has a history of a stroke or any malignancy within 4 weeks prior to receiving study medication."", ""Has psychosis with poor control, or is a drug addict who has not been detoxified."", ""Allergic to the study drug."", ""Has participated in any clinical trial involving experimental therapy 3 months prior to screening."", ""If female, being pregnant or lactating, or plan to get pregnant in next 3 months."", ""Has a survival time less than 3 months according to the investigator's judgement."", ""Subject who are taking Entresto (Sacubitril Valsartan Sodium Tablets) medication."", ""Unable to complete the study or comply with the requirements of the study (for management or other reasons) according to the investigator's judgement.""]"
NCT03734562,"Randomized Controlled Phase IV Multicentric Trial, Comparing the Efficacy and Safety of Radiofrequency Substrate Ablation of Monomorphic Ventricular Tachycardia vs. Antiarrhyhtmic Drugs in Patients Experiencing Appropriate ICD Shocks","Inclusion Criteria:

* Ischemic cardiomyopathy, with ischemic myocardial scar
* Sustained monomorphic ventricular tachycardia
* Age \> 18 years
* Prior ICD implantation

Exclusion Criteria:

* VT storm
* NYHA functional class IV
* Additional indication for antiarrhythmic drug therapy
* Contraindication for both study drugs (amiodarone and sotalol).
* Uncontrolled myocardial ischemia.
* LV thrombus.
* Non-ischemic VT substrate.
* Contraindications for anticoagulation.
* Prior substrate ablation in the previous 6 months
* Cr \> 2.5 mg/dL
* Mitral AND aortic mechanical valvular prosthesis","[""Ischemic cardiomyopathy, with ischemic myocardial scar"", ""Sustained monomorphic ventricular tachycardia"", ""Age > 18 years"", ""Prior ICD implantation""]","[""VT storm"", ""NYHA functional class IV"", ""Additional indication for antiarrhythmic drug therapy"", ""Contraindication for both study drugs (amiodarone and sotalol)."", ""Uncontrolled myocardial ischemia."", ""LV thrombus."", ""Non-ischemic VT substrate."", ""Contraindications for anticoagulation."", ""Prior substrate ablation in the previous 6 months"", ""Cr > 2.5 mg/dL"", ""Mitral AND aortic mechanical valvular prosthesis""]"
NCT01363661,Double-blind Parallel Placebo-controlled Study to Evaluate the Effect of Molsidomine on the Endothelial Dysfunction in Patients With Stable Angina Pectoris Undergoing a Percutaneous Coronary Intervention,"Inclusion Criteria:

* Aged at least 18 years.
* No treatment with molsidomine and/or long-acting nitrates (oral or patches) for more than 48 hours during the month preceding percutaneous coronary intervention (PCI) and no treatment with these same drugs within 3 days before PCI.
* Patients who the investigator believes that they and/or their Legally Acceptable Representative (LAR) can and will comply with the requirements of the protocol.
* Written informed consent from the patient or from the LAR.
* Patients who underwent PCI for stable angina pectoris one month prior to the start of the study.
* Patients presenting endothelial dysfunction at Month 0 (score of the Endo-PAT \<0.40).

Exclusion Criteria:

* Pre-menopausal women.
* Patient with a clinically-active malignancy.
* Known major renal insufficiency or known significant hepatic insufficiency.
* History of psychological disorder, mental dysfunction, alcohol or drug abuse or any other factor which might interfere with the ability to cooperate in the study.
* Participation in another clinical trial which has not yet reached its primary endpoint or with the same primary endpoint during the previous month.
* Concurrently participating in another clinical study, at any time during the study period, in which the subject will be exposed to an investigational or a non-investigational product (vaccine, drug or device).
* Hypersensitivity to molsidomine or to one of its excipients.
* Peri-procedural infarction: creatine kinase-muscle/brain (CK-MB) \>3 times the upper reference limit.
* Clinically significant abnormal pre-PCI CK-MB and troponin: any elevation above the upper reference limit.
* Intolerance to galactose, deficiency in Lapp lactase or glucose-galactose malabsorption.
* Left ventricular insufficiency (New York Heart Association \[NYHA\] class III or IV) with an ejection fraction \<35%.
* Acute circulatory insufficiency (e.g. cardiogenic shock).
* Hypotension: systolic blood pressure \<100 mmHg and/or diastolic blood pressure \<70 mmHg.
* Atrial fibrillation
* Acute myocardial infarction during the preceding month.
* Unsuccessful PCI: residual stenosis of at least 50%.
* Patient taking phosphodiesterase-5 inhibitors, such as sildenafil (Viagra®), vardenafil (Levitra®) and tadalafil (Cialis®)
* Patient taking nebivolol (Nobiten®)
* Patient taking ibuprofen + L-arginine as excipient (Spidifen®)
* Patient meeting any contraindication(s) from Coruno®. Please refer to Coruno® (molsidomine 16 mg o.d.)Summary of Product Characteristics (SPC).","[""Aged at least 18 years."", ""No treatment with molsidomine and/or long-acting nitrates (oral or patches) for more than 48 hours during the month preceding percutaneous coronary intervention (PCI) and no treatment with these same drugs within 3 days before PCI."", ""Patients who the investigator believes that they and/or their Legally Acceptable Representative (LAR) can and will comply with the requirements of the protocol."", ""Written informed consent from the patient or from the LAR."", ""Patients who underwent PCI for stable angina pectoris one month prior to the start of the study."", ""Patients presenting endothelial dysfunction at Month 0 (score of the Endo-PAT <0.40).""]","[""Pre-menopausal women."", ""Patient with a clinically-active malignancy."", ""Known major renal insufficiency or known significant hepatic insufficiency."", ""History of psychological disorder, mental dysfunction, alcohol or drug abuse or any other factor which might interfere with the ability to cooperate in the study."", ""Participation in another clinical trial which has not yet reached its primary endpoint or with the same primary endpoint during the previous month."", ""Concurrently participating in another clinical study, at any time during the study period, in which the subject will be exposed to an investigational or a non-investigational product (vaccine, drug or device)."", ""Hypersensitivity to molsidomine or to one of its excipients."", ""Peri-procedural infarction: creatine kinase-muscle/brain (CK-MB) >3 times the upper reference limit."", ""Clinically significant abnormal pre-PCI CK-MB and troponin: any elevation above the upper reference limit."", ""Intolerance to galactose, deficiency in Lapp lactase or glucose-galactose malabsorption."", ""Left ventricular insufficiency (New York Heart Association [NYHA] class III or IV) with an ejection fraction <35%."", ""Acute circulatory insufficiency (e.g. cardiogenic shock)."", ""Hypotension: systolic blood pressure <100 mmHg and/or diastolic blood pressure <70 mmHg."", ""Atrial fibrillation"", ""Acute myocardial infarction during the preceding month."", ""Unsuccessful PCI: residual stenosis of at least 50%."", ""Patient taking phosphodiesterase-5 inhibitors, such as sildenafil (Viagra\u00ae), vardenafil (Levitra\u00ae) and tadalafil (Cialis\u00ae)"", ""Patient taking nebivolol (Nobiten\u00ae)"", ""Patient taking ibuprofen + L-arginine as excipient (Spidifen\u00ae)"", ""Patient meeting any contraindication(s) from Coruno\u00ae. Please refer to Coruno\u00ae (molsidomine 16 mg o.d.)Summary of Product Characteristics (SPC).""]"
NCT04600141,Clinical Efficacy of Heparin and Tocilizumab in Patients With Severe COVID-19 Infection: a Randomized Clinical Trial,"Inclusion Criteria:

* Age ≥ 18 years;
* Informed consent form signed by the patient or guardian or by audio with the guardian;
* Positive result for COVID-19 in PCR (polymerase chain reaction) in nasopharyngeal swab or tracheal secretion up to 10 days before the inclusion and radiological evidence of COVID-19, by chest radiography or chest computed tomography;
* Need for ≥ 4 L of supplemental oxygen to maintain peripheral oxygen saturation equal to or greater than 93% or need for invasive mechanical ventilation.

Exclusion Criteria:

* Risk of bleeding:

  * Clinical: active bleeding, major surgery in the last 30 days, gastrointestinal bleeding within 30 days;
  * Laboratory: platelet count \<50,000, INR\> 2 or APTT\> 50s;
* Known or suspected adverse reaction to UFH, including heparin-induced thrombocytopenia (TIH);
* Adverse reaction or allergy to tocilizumab;
* Use of any of the following treatments: UFH to treat a thrombotic event within 12 hours before inclusion; HPBM in therapeutic dose within 12 hours before inclusion; warfarin (if used 7 days before and if INR greater than 2; thrombolytic therapy within 3 days before; and use of glycoprotein IIb / IIIa inhibitors within the previous 7 days;
* Pregnant or lactating;
* Absolute indication of anticoagulation due to atrial fibrillation or diagnosed thromboembolic event;
* Refusal by family members and / or patient;
* Active tuberculosis;
* Bacterial infection confirmed by culture;
* Neutropenia (\<1000 neutrophils / mm3);
* Use of another immunosuppressive therapy that is not a corticosteroid;
* Septic shock.","[""Age \"">= 18 years"", ""Informed consent form signed by the patient or guardian or by audio with the guardian"", ""Positive result for COVID-19 in PCR (polymerase chain reaction) in nasopharyngeal swab or tracheal secretion up to 10 days before the inclusion and radiological evidence of COVID-19, by chest radiography or chest computed tomography"", ""Need for \"">= 4 L of supplemental oxygen to maintain peripheral oxygen saturation equal to or greater than 93% or need for invasive mechanical ventilation""]","[""Risk of bleeding: Clinical: active bleeding, major surgery in the last 30 days, gastrointestinal bleeding within 30 days; Laboratory: platelet count <50,000, INR> 2 or APTT> 50s"", ""Known or suspected adverse reaction to UFH, including heparin-induced thrombocytopenia (TIH)"", ""Adverse reaction or allergy to tocilizumab"", ""Use of any of the following treatments: UFH to treat a thrombotic event within 12 hours before inclusion; HPBM in therapeutic dose within 12 hours before inclusion; warfarin (if used 7 days before and if INR greater than 2; thrombolytic therapy within 3 days before; and use of glycoprotein IIb / IIIa inhibitors within the previous 7 days"", ""Pregnant or lactating"", ""Absolute indication of anticoagulation due to atrial fibrillation or diagnosed thromboembolic event"", ""Refusal by family members and / or patient"", ""Active tuberculosis"", ""Bacterial infection confirmed by culture"", ""Neutropenia (<1000 neutrophils / mm3)"", ""Use of another immunosuppressive therapy that is not a corticosteroid"", ""Septic shock""]"
